Lake,YSI2,Year,YSI,QMB,ZM_Biom,TD_Biom,Visibility,Chlorophyll,PhytoplanktonBiom,MactophytesPct,ZoobenthosBiom,ZooplanktonBiom,TP
Lukomskoe,0,1970,0,,,,2.133333333,,6.820967742,5,0.58,1.75,
Lukomskoe,0,1971,1,,,,,,,,,,
Lukomskoe,0,1972,2,,39.56,39.56,2.5,,5.35,,0.48,1.72,
Lukomskoe,0,1973,3,,,,,,,6,,,
Lukomskoe,0,1974,4,,318.96,318.96,2.6,,1.44,,3.17,0.67,
Lukomskoe,0,1975,5,,487.44,487.44,3,,1.62,6.9,3.87,0.43,
Lukomskoe,0,1976,6,,399.45,399.45,3.2,,1.06,15.2,6.62,0.36,
Lukomskoe,0,1977,7,,288,288,3,,3.43,,7.99,0.31,
Lukomskoe,0,1978,8,,124,124,3.5,,4.7,30.7,7.24,0.75,
Lukomskoe,0,1979,9,,,,3.5,,4.37,,,0.56,
Lukomskoe,0,1980,10,,,,4.5,,,,,0.49,
Lukomskoe,0,1981,11,,,,4,,,,7.98,0.54,
Lukomskoe,0,1982,12,,,,,,,,9.1,0.79,
Lukomskoe,0,1983,13,,,,3.2,,0.88,,6.06,1.23,
Lukomskoe,0,1984,14,,,,3.5,,3.24,,,0.81,
Lukomskoe,0,1985,15,,,,2.8,,,,4.88,,
Lukomskoe,0,1986,16,,,,,,,,,,
Lukomskoe,0,1987,17,,,,3.2,,3.7,,4.2,,
Lukomskoe,0,1988,18,,,,,,,,,,
Lukomskoe,0,1989,19,,178,178,3.1,,4.53,17.4,14.29,1.46,
Lukomskoe,0,1990,20,,,,2.7,,7.4,,12.97,0.94,
Lukomskoe,0,1991,21,,,,3.5,,2.04,,9.03,1.4,
Lukomskoe,0,1992,22,,,,3.3,,4.27,18.9,9.03,0.56,
Lukomskoe,0,1993,23,,,,,,,,,,
Lukomskoe,0,1994,24,,,,3,,4.3,,,0.61,
Lukomskoe,0,1995,25,,,,,,,,,,
Lukomskoe,0,1996,26,,,,,,,,,,
Lukomskoe,0,1997,27,,,,,,,,,,
Lukomskoe,0,1998,28,,,,,,,,,,
Lukomskoe,0,1999,29,,,,,,,,,,
Lukomskoe,0,2000,30,,,,,,,,,,
Lukomskoe,0,2001,31,,,,,,,,,,
Lukomskoe,0,2002,32,,,,,,,,,,
Lukomskoe,0,2003,33,,,,1.7,,,,9.8,1.25,
Lukomskoe,0,2004,34,,,,1.7,,11.8,,6.5,0.65,
Lukomskoe,0,2005,35,,45.99,45.99,1.8,,10.2,,5.9,1.4,
Lukomskoe,0,2006,36,,,,,,,14.3,,,
Lukomskoe,0,2007,37,,,,,,,,,,
Lukomskoe,0,2008,38,,,,1.8,,,,,,
Lukomskoe,0,2009,39,,,,,,,,,,
Lukomskoe,0,2010,40,,,,,,,,,,
Lukomskoe,0,2011,41,,,,,,,,,,
Lukomskoe,0,2012,42,,,,,,,,,,
Lukomskoe,0,2013,43,,,,,,,,,,
Lukomskoe,0,2014,44,,,,,,,,,,
Lukomskoe,0,2015,45,,,,,,,,,,
Naroch,0,Average for 1978-1988,0,,,,4.927,4.784,1.725,24.3718593,4.5975,0.877914286,0.28
Naroch,0,1990,1,,1.5,1.5,4.865,3.098,1.342,,4.33,,0.014
Naroch,0,1991,2,,,,5.333,2.279,3.013,,,0.78104,0.017
Naroch,0,1992,3,,,,5.909,2.067,1.252,,,0.45204,0.015
Naroch,0,1993,4,,99,99,6.983,1.175,0.704,,,0.1101,0.016
Naroch,0,1994,5,,115,115,6.329,1.588,0.852,,,0.22755,0.015
Naroch,0,1995,6,,107,107,6.508,1.227,0.882,,,0.285917,0.014
Naroch,0,1996,7,,,,6.917,1.33,0.791,,,0.128031,0.013
Naroch,0,1997,8,,99,99,8.171,0.988,0.21,,3.54,0.522596,0.017
Naroch,0,1998,9,,,,6.25,1.539,0.6,,4.553,0.491,0.015
Naroch,0,1999,10,,,,7,1.296,0.709,27.51256281,6.196,0.523775,0.018
Naroch,0,2000,11,,,,7.208,1.039,0.526,,6.218,0.628,0.015
Naroch,0,2001,12,,,,7.45,0.935,0.53,,5.053,0.462,0.013
Naroch,0,2002,13,,,,6.058,2.081,1.048,,2.685,0.549,0.015
Naroch,0,2003,14,,,,5.533,1.75,0.682,,4.972,0.616683,0.014
Naroch,0,2004,15,,,,6.12,1.688,1.189,,4.092,,0.012
